;RGB GPT;VD GPT;RGB GPF;VD GPF
/home/fjrs/Escritorio/DEMO/raw/S1B_IW_GRDH_1SDV_20200405T062645_20200405T062710_021005_027D7C_E5CA.zip;0 days 00:00:23.978340;0 days 00:00:20.266360;0 days 00:00:20.343369;0 days 00:00:33.070526
/home/fjrs/Escritorio/DEMO/raw/S1A_IW_GRDH_1SDV_20200417T181809_20200417T181834_032171_03B84C_31E3.zip;0 days 00:00:20.939332;0 days 00:00:28.381854;0 days 00:00:17.192132;0 days 00:00:42.439558
/home/fjrs/Escritorio/DEMO/raw/S1B_IW_GRDH_1SDV_20200417T062646_20200417T062711_021180_028307_D382.zip;0 days 00:00:22.359570;0 days 00:00:17.664587;0 days 00:00:18.461507;0 days 00:00:31.206212
/home/fjrs/Escritorio/DEMO/raw/S1A_IW_GRDH_1SDV_20200405T181808_20200405T181833_031996_03B21D_743C.zip;0 days 00:00:21.567047;0 days 00:00:43.714631;0 days 00:00:18.444458;0 days 00:00:55.012104
